ticker,company,sample_role,construct,variant_group,variant,baseline_count,variant_count,retained_count,added_count,removed_count,jaccard,retained_share,note
WMT,Walmart Inc.,bounded_extension,revenue,xbrl,xbrl_expanded_fact16_path15,22,31,22,9,0,0.710,1.000,Fact budget expanded to 16 and relation-path budget expanded to 15 when available.
WMT,Walmart Inc.,bounded_extension,inventory,text,text_top3,5,3,3,0,2,0.600,0.600,Implemented text top-5 varied to top-3.
WMT,Walmart Inc.,bounded_extension,inventory,text,text_top8,5,8,5,3,0,0.625,1.000,Implemented text top-5 varied to top-8.
WMT,Walmart Inc.,bounded_extension,inventory,xbrl,xbrl_fact_only,21,11,11,0,10,0.524,0.524,Relation paths removed; fact budget unchanged.
WMT,Walmart Inc.,bounded_extension,inventory,xbrl,xbrl_fact_top8_paths_current,21,18,18,0,3,0.857,0.857,Fact budget reduced from 12 to 8; relation-path budget unchanged.
WMT,Walmart Inc.,bounded_extension,inventory,xbrl,xbrl_expanded_fact16_path15,21,25,21,4,0,0.840,1.000,Fact budget expanded to 16 and relation-path budget expanded to 15 when available.
HD,"Home Depot, Inc.",bounded_extension,revenue,text,text_top3,5,3,3,0,2,0.600,0.600,Implemented text top-5 varied to top-3.
HD,"Home Depot, Inc.",bounded_extension,revenue,text,text_top8,5,8,5,3,0,0.625,1.000,Implemented text top-5 varied to top-8.
HD,"Home Depot, Inc.",bounded_extension,revenue,xbrl,xbrl_fact_only,22,12,12,0,10,0.545,0.545,Relation paths removed; fact budget unchanged.
HD,"Home Depot, Inc.",bounded_extension,revenue,xbrl,xbrl_fact_top8_paths_current,22,18,18,0,4,0.818,0.818,Fact budget reduced from 12 to 8; relation-path budget unchanged.
HD,"Home Depot, Inc.",bounded_extension,revenue,xbrl,xbrl_expanded_fact16_path15,22,31,22,9,0,0.710,1.000,Fact budget expanded to 16 and relation-path budget expanded to 15 when available.
HD,"Home Depot, Inc.",bounded_extension,inventory,text,text_top3,5,3,3,0,2,0.600,0.600,Implemented text top-5 varied to top-3.
HD,"Home Depot, Inc.",bounded_extension,inventory,text,text_top8,5,8,5,3,0,0.625,1.000,Implemented text top-5 varied to top-8.
HD,"Home Depot, Inc.",bounded_extension,inventory,xbrl,xbrl_fact_only,22,12,12,0,10,0.545,0.545,Relation paths removed; fact budget unchanged.
HD,"Home Depot, Inc.",bounded_extension,inventory,xbrl,xbrl_fact_top8_paths_current,22,18,18,0,4,0.818,0.818,Fact budget reduced from 12 to 8; relation-path budget unchanged.
HD,"Home Depot, Inc.",bounded_extension,inventory,xbrl,xbrl_expanded_fact16_path15,22,31,22,9,0,0.710,1.000,Fact budget expanded to 16 and relation-path budget expanded to 15 when available.
CAT,Caterpillar Inc.,bounded_extension,revenue,text,text_top3,5,3,3,0,2,0.600,0.600,Implemented text top-5 varied to top-3.
