condition,construct,claims,factual_claims,risk_or_assertion_claims,insufficient_context_claims,text_supported_prelim_mean,text_supported_prelim_n,graph_valid_prelim_mean,graph_valid_prelim_n,audit_valid_prelim_mean,audit_valid_prelim_n,integrated_prelim_mean,integrated_prelim_n
hybrid,inventory,15,6,9,0,0.63,15,0.88,4,1.00,15,0.60,15
hybrid,revenue,15,6,9,0,0.47,15,0.88,4,1.00,15,0.50,15
llm_only,inventory,3,0,0,3,NA,0,NA,0,1.00,3,NA,0
llm_only,revenue,3,0,0,3,NA,0,NA,0,1.00,3,NA,0
text,inventory,13,5,8,0,0.69,13,NA,0,1.00,13,NA,0
text,revenue,15,6,9,0,0.70,15,NA,0,1.00,15,NA,0
xbrl,inventory,15,7,7,1,NA,0,0.70,15,1.00,15,NA,0
xbrl,revenue,15,7,8,0,NA,0,0.73,15,1.00,15,NA,0
